
강수일수
지점/지역명 : 양평

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2019,1.0,4.0,7.0,9.0,3.0,9.0,16.0,13.0,10.0,6.0,8.0,10.0,96.0,7
2020,6.0,10.0,5.0,5.0,13.0,10.0,18.0,19.0,10.0,2.0,6.0,4.0,108.0,4
2021,11.0,6.0,9.0,9.0,16.0,11.0,11.0,13.0,8.0,13.0,8.0,9.0,124.0,1
2022,6.0,3.0,9.0,7.0,5.0,12.0,17.0,21.0,4.0,6.0,7.0,8.0,105.0,6
2023,7.0,2.0,3.0,11.0,7.0,11.0,16.0,11.0,12.0,6.0,8.0,12.0,106.0,5
2024,8.0,13.0,10.0,6.0,7.0,9.0,21.0,10.0,10.0,8.0,6.0,6.0,114.0,2
2025,7.0,3.0,9.0,8.0,13.0,10.0,12.0,12.0,15.0,14.0,4.0,3.0,110.0,3
평균,6.6,5.9,7.4,7.9,9.1,10.3,15.9,14.1,9.9,7.9,6.7,7.4


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
2019,19.0,38.0,24.0,26.0
2020,23.0,47.0,18.0,21.0
2021,34.0,35.0,29.0,18.0
2022,21.0,50.0,17.0,17.0
2023,21.0,38.0,26.0,33.0
2024,23.0,40.0,24.0,16.0
2025,30.0,34.0,33.0,3.0
평균	,24.4,40.3,24.4,19.1


강수일수 관측값
연도,날짜,지점,관측값
2019,0128,양평,0.4
2019,0203,양평,22
2019,0207,양평,0.4
2019,0215,양평,0.4
2019,0219,양평,5.5
2019,0312,양평,1
2019,0315,양평,4
2019,0320,양평,18
2019,0321,양평,4.5
2019,0323,양평,4.5
2019,0330,양평,4
2019,0331,양평,1
2019,0406,양평,0.3
2019,0409,양평,23.5
2019,0410,양평,4.5
2019,0414,양평,1.5
2019,0421,양평,0.1
2019,0424,양평,8
2019,0425,양평,10
2019,0426,양평,8
2019,0428,양평,0.1
2019,0519,양평,11.5
2019,0520,양평,2
2019,0527,양평,12
2019,0606,양평,14.5
2019,0607,양평,31
2019,0609,양평,4
2019,0610,양평,2.5
2019,0615,양평,0.1
2019,0618,양평,6.5
2019,0619,양평,1
2019,0627,양평,1
2019,0629,양평,1
2019,0705,양평,1
2019,0710,양평,10.5
2019,0711,양평,1.5
2019,0714,양평,21.5
2019,0715,양평,4
2019,0717,양평,23.5
2019,0719,양평,1
2019,0720,양평,1.5
2019,0721,양평,9.5
2019,0724,양평,0.5
2019,0725,양평,3.5
2019,0726,양평,52.5
2019,0727,양평,49.5
2019,0728,양평,22
2019,0729,양평,0.1
2019,0731,양평,13
2019,0801,양평,33
2019,0805,양평,0.1
2019,0807,양평,38.5
2019,0809,양평,0.3
2019,0812,양평,94
2019,0813,양평,1
2019,0815,양평,14
2019,0816,양평,0.1
2019,0817,양평,4.5
2019,0821,양평,0.1
2019,0827,양평,1
2019,0828,양평,1.5
2019,0829,양평,37.5
2019,0903,양평,0.5
2019,0904,양평,17.5
2019,0905,양평,95
2019,0906,양평,1
2019,0907,양평,2.5
2019,0908,양평,4.5
2019,0909,양평,7.5
2019,0910,양평,51.5
2019,0911,양평,24.5
2019,0922,양평,20
2019,1002,양평,24
2019,1003,양평,19.5
2019,1007,양평,9.5
2019,1025,양평,1.5
2019,1028,양평,0.5
2019,1029,양평,7
2019,1110,양평,4.5
2019,1111,양평,1
2019,1112,양평,0.1
2019,1113,양평,7
2019,1115,양평,15
