
강수일수
지점/지역명 : 서울

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2019,0.0,6.0,5.0,9.0,3.0,10.0,16.0,13.0,10.0,6.0,7.0,13.0,98.0,7
2020,6.0,10.0,5.0,3.0,12.0,11.0,16.0,19.0,11.0,0.0,9.0,4.0,106.0,5
2021,9.0,5.0,9.0,9.0,17.0,13.0,8.0,13.0,8.0,11.0,6.0,9.0,117.0,1
2022,7.0,5.0,9.0,7.0,4.0,12.0,14.0,19.0,8.0,5.0,5.0,9.0,104.0,6
2023,7.0,2.0,3.0,11.0,8.0,11.0,19.0,13.0,11.0,5.0,7.0,12.0,109.0,4
2024,9.0,11.0,10.0,4.0,8.0,7.0,22.0,11.0,11.0,6.0,6.0,5.0,110.0,3
2025,9.0,3.0,8.0,7.0,12.0,12.0,10.0,12.0,13.0,15.0,6.0,5.0,112.0,2
평균,6.7,6.0,7.0,7.1,9.1,10.9,15.0,14.3,10.3,6.9,6.6,8.1


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
2019,17.0,39.0,23.0,29.0
2020,20.0,46.0,20.0,18.0
2021,35.0,34.0,25.0,21.0
2022,20.0,45.0,18.0,18.0
2023,22.0,43.0,23.0,32.0
2024,22.0,40.0,23.0,17.0
2025,27.0,34.0,34.0,5.0
평균	,23.3,40.1,23.7,20.0


강수일수 관측값
연도,날짜,지점,관측값
2019,0201,서울,0.3
2019,0203,서울,16
2019,0207,서울,0.5
2019,0215,서울,2.2
2019,0216,서울,0.2
2019,0219,서울,4.6
2019,0315,서울,3.5
2019,0320,서울,16.5
2019,0321,서울,3.3
2019,0323,서울,1.7
2019,0330,서울,1.8
2019,0406,서울,0.8
2019,0409,서울,17.4
2019,0410,서울,5.6
2019,0414,서울,1.7
2019,0420,서울,1.2
2019,0421,서울,0.3
2019,0424,서울,4.1
2019,0425,서울,11.3
2019,0426,서울,4.9
2019,0519,서울,22
2019,0520,서울,8.7
2019,0527,서울,7.1
2019,0606,서울,7.5
2019,0607,서울,35.3
2019,0609,서울,2.5
2019,0610,서울,9.5
2019,0615,서울,2.1
2019,0618,서울,13.8
2019,0619,서울,0.2
2019,0621,서울,0.2
2019,0627,서울,1.4
2019,0629,서울,1.5
2019,0710,서울,8.5
2019,0711,서울,2.9
2019,0715,서울,7.7
2019,0716,서울,6.3
2019,0717,서울,0.7
2019,0720,서울,1.1
2019,0721,서울,6.2
2019,0722,서울,0.1
2019,0724,서울,1
2019,0725,서울,9.7
2019,0726,서울,60
2019,0727,서울,0.6
2019,0728,서울,25.6
2019,0729,서울,0.5
2019,0730,서울,1.2
2019,0731,서울,62.3
2019,0801,서울,26.9
2019,0803,서울,3
2019,0804,서울,8.6
2019,0807,서울,8
2019,0811,서울,6.7
2019,0812,서울,56.2
2019,0813,서울,6.4
2019,0815,서울,16.2
2019,0816,서울,0.1
2019,0821,서울,1.3
2019,0827,서울,20
2019,0829,서울,36.9
2019,0830,서울,0.2
2019,0904,서울,22.7
2019,0905,서울,36.4
2019,0906,서울,2.4
2019,0907,서울,2.8
2019,0910,서울,63.2
2019,0911,서울,7.6
2019,0912,서울,3.9
2019,0913,서울,0.1
2019,0914,서울,0.3
2019,0922,서울,0.4
2019,1002,서울,23.1
2019,1003,서울,4.6
2019,1005,서울,0.6
2019,1007,서울,25.4
2019,1028,서울,1.7
2019,1029,서울,0.1
2019,1110,서울,11.8
2019,1111,서울,1.1
2019,1113,서울,7.5
2019,1115,서울,18.8
2019,1117,서울,21.1
2019,1118,서울,14.7
2019,1124,서울,3.8
2019,1201,서울,3.3
2019,1203,서울,0.6
2019,1207,서울,0.1
2019,1210,서울,1.7
2019,1211,서울,0.2
2019,1213,서울,1
2019,1217,서울,9.8
2019,1221,서울,0.6
2019,1222,서울,0.3
2019,1223,서울,2.9
2019,1226,서울,0.3
2019,1229,서울,1.4
2019,1230,서울,0.4
2020,0101,서울,0.1
2020,0106,서울,1.8
2020,0107,서울,46.3
2020,0108,서울,11.6
2020,0119,서울,0.6
2020,0127,서울,0.1
2020,0204,서울,1.7
2020,0212,서울,6.7
2020,0215,서울,2
2020,0216,서울,13.4
2020,0217,서울,1
2020,0221,서울,4.2
2020,0222,서울,3.1
2020,0225,서울,16.6
2020,0228,서울,3.9
2020,0229,서울,0.5
2020,0301,서울,0.2
2020,0310,서울,11.8
2020,0313,서울,0.5
2020,0326,서울,1.8
2020,0327,서울,2
2020,0417,서울,6.5
2020,0419,서울,10.3
2020,0420,서울,0.1
2020,0508,서울,2.3
2020,0509,서울,24.4
2020,0510,서울,1.3
2020,0511,서울,3.4
2020,0512,서울,0.7
2020,0515,서울,12
2020,0516,서울,2.5
2020,0518,서울,29.8
2020,0519,서울,19
2020,0524,서울,14.5
2020,0526,서울,1.5
2020,0531,서울,1
2020,0601,서울,0.4
2020,0602,서울,2
2020,0604,서울,0.2
2020,0610,서울,6.2
2020,0614,서울,1.1
2020,0619,서울,0.1
2020,0624,서울,37.6
2020,0625,서울,13.3
2020,0626,서울,2.1
2020,0629,서울,11.9
2020,0630,서울,64.7
2020,0703,서울,0.1
2020,0704,서울,1.6
2020,0710,서울,2.2
2020,0712,서울,2.9
2020,0713,서울,47.6
2020,0714,서울,11.5
2020,0719,서울,29.1
2020,0720,서울,3.6
2020,0722,서울,11.5
2020,0723,서울,103.1
2020,0724,서울,2.9
2020,0727,서울,2.2
2020,0728,서울,0.4
2020,0729,서울,50.1
2020,0730,서울,0.1
2020,0731,서울,1.5
2020,0801,서울,39.1
2020,0802,서울,31.4
2020,0803,서울,102.6
2020,0804,서울,3.9
2020,0805,서울,18.5
2020,0806,서울,75.7
2020,0808,서울,19.1
2020,0809,서울,50.3
2020,0810,서울,44.6
2020,0811,서울,97
2020,0814,서울,0.4
2020,0815,서울,69
2020,0821,서울,2.5
2020,0822,서울,42.6
2020,0826,서울,0.6
2020,0827,서울,8.7
2020,0828,서울,13.6
2020,0829,서울,13.6
2020,0830,서울,42.5
2020,0902,서울,33.3
2020,0903,서울,29.8
2020,0906,서울,6.4
2020,0907,서울,61
2020,0909,서울,1.3
2020,0910,서울,3.9
2020,0911,서울,1.2
2020,0912,서울,5.7
2020,0916,서울,0.3
2020,0919,서울,0.3
2020,0930,서울,38.3
2020,1101,서울,13.6
2020,1102,서울,1.7
2020,1103,서울,0.5
2020,1107,서울,0.1
2020,1117,서울,0.1
2020,1118,서울,12.2
2020,1119,서울,86.9
2020,1121,서울,0.2
2020,1122,서울,4.8
2020,1213,서울,2.9
2020,1218,서울,0.2
2020,1228,서울,1.3
2020,1229,서울,0.2
2021,0106,서울,2.3
2021,0112,서울,2.6
2021,0115,서울,0.2
2021,0118,서울,0.3
2021,0121,서울,9.2
2021,0122,서울,0.1
2021,0126,서울,1.7
2021,0128,서울,2
2021,0130,서울,0.5
2021,0201,서울,0.7
2021,0203,서울,3.4
2021,0204,서울,0.1
2021,0215,서울,1.4
2021,0216,서울,1.5
2021,0301,서울,67.5
2021,0302,서울,0.1
2021,0315,서울,1.7
2021,0316,서울,1.3
2021,0320,서울,5.1
2021,0321,서울,0.3
2021,0327,서울,25.5
2021,0328,서울,9.2
2021,0329,서울,0.2
2021,0403,서울,56.2
2021,0404,서울,0.6
2021,0412,서울,22
2021,0413,서울,8
2021,0416,서울,0.7
2021,0427,서울,1.7
2021,0428,서울,4.7
2021,0429,서울,3.9
2021,0430,서울,26.3
2021,0501,서울,8
2021,0502,서울,1.7
2021,0504,서울,19.6
2021,0505,서울,0.1
2021,0507,서울,8.8
2021,0515,서울,15
2021,0516,서울,66.9
2021,0517,서울,3.1
2021,0520,서울,0.9
2021,0521,서울,6.9
2021,0522,서울,0.2
2021,0525,서울,8.3
2021,0527,서울,8.9
2021,0528,서울,12.3
2021,0529,서울,0.3
2021,0530,서울,18.1
2021,0531,서울,4
2021,0601,서울,3.2
2021,0603,서울,18.1
2021,0608,서울,0.1
2021,0610,서울,6.1
2021,0611,서울,4.6
2021,0615,서울,1.9
2021,0618,서울,6.3
2021,0623,서울,7.5
2021,0626,서울,4.5
2021,0627,서울,38.2
2021,0628,서울,0.1
2021,0629,서울,8
2021,0630,서울,6
2021,0703,서울,60
2021,0704,서울,21.4
2021,0707,서울,12.7
2021,0708,서울,2.9
2021,0710,서울,0.5
2021,0711,서울,0.4
2021,0719,서울,67.4
2021,0731,서울,3
2021,0801,서울,21
2021,0802,서울,1.7
2021,0808,서울,12.7
2021,0817,서울,9.3
2021,0818,서울,5.6
2021,0821,서울,62.8
2021,0823,서울,7.4
2021,0824,서울,10.5
2021,0825,서울,0.3
2021,0826,서울,0.7
2021,0827,서울,0.9
2021,0829,서울,0.9
2021,0831,서울,77.4
2021,0901,서울,0.8
2021,0906,서울,12
2021,0907,서울,29.6
2021,0908,서울,1.6
2021,0921,서울,68.1
2021,0922,서울,4.5
2021,0928,서울,1.3
2021,0929,서울,13.1
2021,1001,서울,13.3
2021,1004,서울,3.6
2021,1006,서울,6.4
2021,1007,서울,4.6
2021,1008,서울,3.5
2021,1009,서울,0.4
2021,1010,서울,14.2
2021,1011,서울,0.3
2021,1018,서울,5.6
2021,1019,서울,4.4
2021,1031,서울,0.7
2021,1108,서울,25.7
2021,1109,서울,2
2021,1110,서울,0.3
2021,1121,서울,5.9
2021,1122,서울,1.3
2021,1130,서울,27.2
2021,1202,서울,0.1
2021,1203,서울,0.4
2021,1210,서울,0.7
2021,1214,서울,1.2
2021,1215,서울,2.1
2021,1218,서울,2.8
2021,1219,서울,0.2
2021,1224,서울,0.2
2021,1229,서울,0.2
2022,0102,서울,0.3
2022,0110,서울,0.9
2022,0111,서울,0.2
2022,0117,서울,0.5
2022,0119,서울,1.7
2022,0125,서울,0.7
2022,0131,서울,1.2
2022,0201,서울,1.7
2022,0214,서울,1.7
2022,0219,서울,0.1
2022,0221,서울,0.1
2022,0226,서울,1.1
2022,0301,서울,2.3
2022,0312,서울,2.6
2022,0313,서울,42.1
2022,0314,서울,8.7
2022,0317,서울,1.2
2022,0319,서울,14.6
2022,0325,서울,10.9
2022,0326,서울,19.8
2022,0330,서울,0.4
2022,0409,서울,0.5
2022,0412,서울,0.5
2022,0413,서울,1.3
2022,0424,서울,0.3
2022,0425,서울,1.3
2022,0426,서울,1
2022,0429,서울,15.5
2022,0507,서울,0.5
2022,0508,서울,2
2022,0518,서울,1.5
2022,0525,서울,3.5
2022,0606,서울,4.3
2022,0609,서울,2.6
2022,0610,서울,1.2
2022,0613,서울,18
2022,0615,서울,18.5
2022,0616,서울,0.7
2022,0623,서울,103
2022,0624,서울,19.1
2022,0627,서울,6.1
2022,0628,서울,6.3
2022,0629,서울,37.8
2022,0630,서울,176.2
2022,0706,서울,16.1
2022,0708,서울,1.7
2022,0709,서울,0.1
2022,0711,서울,9
2022,0713,서울,114.5
2022,0714,서울,0.9
2022,0716,서울,34
2022,0720,서울,1.1
2022,0721,서울,10.4
2022,0722,서울,5.2
2022,0723,서울,9.9
2022,0724,서울,1.2
2022,0730,서울,1
2022,0731,서울,47.2
2022,0801,서울,30
2022,0802,서울,33.5
2022,0803,서울,51.1
2022,0806,서울,13.6
2022,0807,서울,0.9
2022,0808,서울,129.6
2022,0809,서울,123.1
2022,0810,서울,7.6
2022,0811,서울,38.8
2022,0813,서울,4
2022,0814,서울,3
2022,0815,서울,0.9
2022,0819,서울,66.1
2022,0822,서울,3.2
2022,0823,서울,2.2
2022,0825,서울,1.6
2022,0827,서울,17.6
2022,0829,서울,2.2
2022,0830,서울,35.8
2022,0904,서울,33.8
2022,0905,서울,120
2022,0906,서울,25.3
2022,0911,서울,0.1
2022,0915,서울,0.1
2022,0916,서울,14.6
2022,0917,서울,4.3
2022,0923,서울,3.3
2022,1002,서울,15.8
2022,1003,서울,76
2022,1004,서울,11.8
2022,1005,서울,0.1
2022,1009,서울,20.4
2022,1112,서울,57.9
2022,1115,서울,1.6
2022,1125,서울,1.7
2022,1128,서울,19.5
2022,1129,서울,3.8
2022,1203,서울,1.1
2022,1206,서울,0.1
2022,1207,서울,0.1
2022,1212,서울,5.4
2022,1213,서울,0.6
2022,1215,서울,2.4
2022,1217,서울,0.2
2022,1221,서울,3.6
2022,1228,서울,0.1
2023,0106,서울,3.9
2023,0107,서울,0.1
2023,0113,서울,37.3
2023,0114,서울,1.6
2023,0115,서울,3.2
2023,0119,서울,1
2023,0126,서울,0.8
2023,0210,서울,0.6
2023,0219,서울,0.4
2023,0308,서울,1.2
2023,0309,서울,3.7
2023,0312,서울,5.6
2023,0404,서울,6.9
2023,0405,서울,50.3
2023,0406,서울,2.7
2023,0411,서울,2.9
2023,0415,서울,4.6
2023,0418,서울,1.5
2023,0420,서울,0.5
2023,0425,서울,0.4
2023,0428,서울,1.9
2023,0429,서울,25.1
2023,0430,서울,0.1
2023,0505,서울,30.2
2023,0506,서울,47.5
2023,0518,서울,1.3
2023,0521,서울,0.2
2023,0526,서울,0.5
2023,0527,서울,31.8
2023,0528,서울,41.8
2023,0529,서울,2.3
2023,0608,서울,1.9
2023,0609,서울,1.2
2023,0610,서울,0.8
2023,0611,서울,32.2
2023,0614,서울,30.6
2023,0620,서울,6.4
2023,0621,서울,24.9
2023,0626,서울,30.3
2023,0627,서울,2.5
2023,0629,서울,63.8
2023,0630,서울,1
2023,0704,서울,61.8
2023,0705,서울,15.3
2023,0709,서울,47.5
2023,0710,서울,11.5
2023,0711,서울,58.3
2023,0712,서울,0.7
2023,0713,서울,91.6
2023,0714,서울,72.7
2023,0715,서울,2.3
2023,0716,서울,9.7
2023,0717,서울,1.4
2023,0718,서울,2.3
2023,0722,서울,12.3
2023,0723,서울,40.2
2023,0724,서울,0.4
2023,0725,서울,5.6
2023,0726,서울,1
2023,0730,서울,25
2023,0731,서울,0.3
2023,0806,서울,4.9
2023,0809,서울,0.2
2023,0810,서울,86.1
2023,0811,서울,46.7
2023,0812,서울,1.5
2023,0816,서울,0.3
2023,0818,서울,0.1
2023,0822,서울,42.6
2023,0823,서울,41.8
2023,0824,서울,5.2
2023,0828,서울,10.4
2023,0829,서울,54.8
2023,0830,서울,3.5
2023,0903,서울,0.1
2023,0904,서울,0.3
2023,0913,서울,15.9
2023,0915,서울,2.1
2023,0916,서울,38.7
2023,0917,서울,3
2023,0920,서울,35.8
2023,0925,서울,1.9
2023,0926,서울,27.8
2023,0927,서울,4.4
2023,0930,서울,4.5
2023,1004,서울,14.7
2023,1009,서울,1.2
2023,1014,서울,5.8
2023,1019,서울,8.2
2023,1021,서울,1.1
2023,1103,서울,8.5
2023,1105,서울,10.4
2023,1106,서울,45.8
2023,1109,서울,5.1
2023,1116,서울,8.4
2023,1123,서울,0.1
2023,1127,서울,3.6
2023,1206,서울,3.8
2023,1211,서울,11.4
2023,1212,서울,0.4
2023,1214,서울,17
2023,1215,서울,31.1
2023,1216,서울,1.5
2023,1219,서울,0.3
2023,1220,서울,0.8
2023,1224,서울,1.1
2023,1225,서울,0.7
2023,1230,서울,13.1
2023,1231,서울,4.7
2024,0103,서울,0.6
2024,0106,서울,2.4
2024,0109,서울,1.6
2024,0114,서울,3.1
2024,0117,서울,9.7
2024,0118,서울,0.5
2024,0120,서울,0.4
2024,0121,서울,0.4
2024,0122,서울,0.2
2024,0205,서울,3.9
2024,0206,서울,0.2
2024,0215,서울,10.9
2024,0218,서울,17.1
2024,0219,서울,8.9
2024,0220,서울,2.6
2024,0221,서울,17.8
2024,0222,서울,8.8
2024,0223,서울,0.4
2024,0224,서울,2.3
2024,0225,서울,1.8
2024,0307,서울,2.1
2024,0312,서울,2.1
2024,0317,서울,0.1
2024,0319,서울,0.2
2024,0322,서울,5.4
2024,0323,서울,0.1
2024,0325,서울,5.1
2024,0326,서울,11.5
2024,0328,서울,1.9
2024,0329,서울,1.4
2024,0415,서울,17.1
2024,0416,서울,2.3
2024,0420,서울,4.8
2024,0424,서울,9
2024,0505,서울,48.3
2024,0506,서울,12.3
2024,0507,서울,2.4
2024,0511,서울,31.7
2024,0515,서울,20.6
2024,0516,서울,0.1
2024,0526,서울,8.7
2024,0531,서울,1
2024,0607,서울,0.8
2024,0608,서울,16.9
2024,0615,서울,6.1
2024,0622,서울,16.5
2024,0623,서울,5.1
2024,0629,서울,38.3
2024,0630,서울,32.2
2024,0702,서울,65.1
2024,0703,서울,0.8
2024,0704,서울,3.6
2024,0705,서울,4.1
2024,0706,서울,2.8
2024,0707,서울,28.7
2024,0708,서울,21.1
2024,0709,서울,0.3
2024,0710,서울,1.4
2024,0714,서울,0.4
2024,0716,서울,17
2024,0717,서울,98.8
2024,0718,서울,128.8
2024,0719,서울,0.1
2024,0720,서울,14.9
2024,0721,서울,8.5
2024,0722,서울,79.9
2024,0723,서울,2
2024,0724,서울,14.7
2024,0725,서울,25.3
2024,0726,서울,5.5
2024,0727,서울,33.5
2024,0801,서울,0.3
2024,0805,서울,1.3
2024,0807,서울,3.4
2024,0814,서울,3
2024,0815,서울,6.4
2024,0817,서울,11
2024,0819,서울,2.3
2024,0821,서울,42.2
