
강수일수
지점/지역명 : 인천

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2019,2.0,3.0,6.0,8.0,3.0,10.0,14.0,9.0,9.0,5.0,7.0,13.0,89.0,7
2020,5.0,10.0,3.0,2.0,15.0,11.0,16.0,21.0,8.0,4.0,8.0,6.0,109.0,1
2021,6.0,4.0,6.0,9.0,15.0,10.0,8.0,15.0,8.0,10.0,7.0,6.0,104.0,2
2022,7.0,3.0,8.0,6.0,4.0,13.0,8.0,14.0,6.0,5.0,5.0,11.0,90.0,6
2023,6.0,2.0,3.0,8.0,7.0,9.0,15.0,11.0,10.0,6.0,6.0,11.0,94.0,5
2024,7.0,10.0,5.0,5.0,6.0,8.0,21.0,10.0,10.0,9.0,8.0,4.0,103.0,4
2025,6.0,3.0,8.0,7.0,10.0,11.0,11.0,10.0,12.0,17.0,4.0,4.0,103.0,3
평균,5.6,5.0,5.6,6.4,8.6,10.3,13.3,12.9,9.0,8.0,6.4,7.9


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
2019,17.0,33.0,21.0,28.0
2020,20.0,48.0,20.0,16.0
2021,30.0,33.0,25.0,16.0
2022,18.0,35.0,16.0,19.0
2023,18.0,35.0,22.0,28.0
2024,16.0,39.0,27.0,13.0
2025,25.0,32.0,33.0,4.0
평균	,20.6,36.4,23.4,17.7


강수일수 관측값
연도,날짜,지점,관측값
2019,0116,인천,0.6
2019,0117,인천,0.1
2019,0203,인천,19.5
2019,0215,인천,2.6
2019,0219,인천,4.5
2019,0311,인천,0.1
2019,0315,인천,1.5
2019,0320,인천,16.4
2019,0321,인천,4.7
2019,0323,인천,2.6
2019,0330,인천,3.1
2019,0409,인천,14.9
2019,0410,인천,3.8
2019,0414,인천,2.4
2019,0420,인천,1.1
2019,0421,인천,0.7
2019,0424,인천,5.9
2019,0425,인천,9.6
2019,0426,인천,2.7
2019,0519,인천,14.4
2019,0520,인천,8.3
2019,0527,인천,10.5
2019,0606,인천,5.9
2019,0607,인천,26.8
2019,0610,인천,3.4
2019,0617,인천,0.2
2019,0618,인천,4.5
2019,0619,인천,0.8
2019,0627,인천,0.9
2019,0628,인천,3.8
2019,0629,인천,3.2
2019,0630,인천,0.2
2019,0710,인천,3.7
2019,0711,인천,0.1
2019,0713,인천,11.1
2019,0716,인천,37.5
2019,0720,인천,3.8
2019,0721,인천,6
2019,0724,인천,1
2019,0725,인천,9.1
2019,0726,인천,61.1
2019,0727,인천,4.8
2019,0728,인천,30
2019,0729,인천,0.2
2019,0730,인천,2.4
2019,0731,인천,50
2019,0801,인천,26
2019,0811,인천,10
2019,0812,인천,52.7
2019,0813,인천,4.1
2019,0814,인천,2.7
2019,0815,인천,6.4
2019,0821,인천,0.6
2019,0827,인천,2.6
2019,0829,인천,38.6
2019,0903,인천,3.2
2019,0904,인천,58.2
2019,0905,인천,40.3
2019,0906,인천,6.9
2019,0907,인천,1.4
2019,0910,인천,88.8
2019,0911,인천,4.2
2019,0912,인천,25.2
2019,0914,인천,0.8
2019,1002,인천,13.2
2019,1003,인천,4.2
2019,1007,인천,13.8
2019,1028,인천,0.6
2019,1029,인천,0.1
2019,1110,인천,21.4
2019,1111,인천,1.3
2019,1113,인천,5.9
2019,1115,인천,23.4
2019,1117,인천,23.7
2019,1118,인천,9.9
2019,1124,인천,3.8
2019,1201,인천,3.8
2019,1203,인천,1.8
2019,1204,인천,0.3
2019,1207,인천,0.1
2019,1210,인천,2.4
2019,1213,인천,1.2
2019,1217,인천,6.7
2019,1221,인천,2.1
2019,1222,인천,0.6
2019,1223,인천,4.8
2019,1226,인천,0.2
2019,1229,인천,0.9
2019,1230,인천,0.1
2020,0106,인천,2.3
2020,0107,인천,42.2
2020,0108,인천,3.4
2020,0119,인천,0.1
2020,0127,인천,0.6
2020,0204,인천,0.9
2020,0212,인천,5.9
2020,0215,인천,3.8
2020,0216,인천,10.2
2020,0217,인천,0.1
2020,0221,인천,5.8
2020,0222,인천,1.1
2020,0225,인천,17.5
2020,0228,인천,4.1
2020,0229,인천,0.3
2020,0310,인천,6.1
2020,0326,인천,3.5
2020,0327,인천,1.1
2020,0417,인천,2.6
2020,0419,인천,11.2
2020,0503,인천,0.1
2020,0508,인천,2.9
2020,0509,인천,24.1
2020,0510,인천,0.8
2020,0511,인천,2.6
2020,0512,인천,0.3
2020,0515,인천,10.4
2020,0516,인천,1.7
2020,0517,인천,0.1
2020,0518,인천,35.7
2020,0519,인천,4.7
2020,0523,인천,0.1
2020,0524,인천,15.9
2020,0526,인천,1.5
2020,0531,인천,0.3
2020,0601,인천,0.4
2020,0602,인천,2.7
2020,0604,인천,0.9
2020,0610,인천,9.4
2020,0614,인천,0.2
2020,0619,인천,0.1
2020,0624,인천,23.5
2020,0625,인천,6.9
2020,0626,인천,1.6
2020,0629,인천,22
2020,0630,인천,32.5
2020,0701,인천,0.1
2020,0703,인천,0.8
2020,0704,인천,0.5
2020,0710,인천,1.7
2020,0712,인천,2.7
2020,0713,인천,50.6
2020,0714,인천,9.2
2020,0719,인천,22
2020,0720,인천,2.3
2020,0722,인천,25
2020,0723,인천,101.8
2020,0724,인천,7.8
2020,0727,인천,4.9
2020,0728,인천,0.1
2020,0729,인천,13.8
2020,0730,인천,0.2
2020,0801,인천,38.2
2020,0802,인천,21.6
2020,0803,인천,50.5
2020,0804,인천,1.7
2020,0805,인천,15.2
2020,0806,인천,59.4
2020,0807,인천,0.1
2020,0808,인천,18.2
2020,0809,인천,103.8
2020,0810,인천,20.1
2020,0811,인천,106.6
2020,0812,인천,0.1
2020,0814,인천,0.1
2020,0815,인천,27.3
2020,0821,인천,0.4
2020,0822,인천,0.4
2020,0826,인천,0.5
2020,0827,인천,12.4
2020,0828,인천,8.7
2020,0829,인천,0.3
2020,0830,인천,0.8
2020,0902,인천,34.5
2020,0903,인천,39
2020,0906,인천,3.1
2020,0907,인천,62.7
2020,0909,인천,2.2
2020,0912,인천,6.6
2020,0916,인천,0.5
2020,0919,인천,19.1
2020,1002,인천,1.2
2020,1003,인천,0.1
2020,1017,인천,0.2
2020,1022,인천,0.4
2020,1101,인천,20.7
2020,1102,인천,0.6
2020,1103,인천,0.2
2020,1117,인천,0.8
2020,1118,인천,8.5
2020,1119,인천,47.7
2020,1121,인천,0.9
2020,1122,인천,2.2
2020,1210,인천,0.2
2020,1213,인천,3.7
2020,1217,인천,0.1
2020,1218,인천,1.1
2020,1222,인천,0.1
2020,1228,인천,1.4
2021,0106,인천,2.1
2021,0112,인천,1.1
2021,0117,인천,0.5
2021,0121,인천,14.4
2021,0126,인천,0.2
2021,0128,인천,2.5
2021,0203,인천,3.3
2021,0204,인천,0.1
2021,0215,인천,0.8
2021,0216,인천,2.4
2021,0301,인천,58.7
2021,0315,인천,0.5
2021,0316,인천,0.3
2021,0320,인천,3.4
2021,0327,인천,22.3
2021,0328,인천,8.2
2021,0403,인천,54.7
2021,0404,인천,0.5
2021,0412,인천,18.1
2021,0413,인천,6
2021,0416,인천,0.4
2021,0427,인천,5.1
2021,0428,인천,0.1
2021,0429,인천,7.7
2021,0430,인천,24.3
2021,0501,인천,0.7
2021,0502,인천,1.1
2021,0504,인천,32.3
2021,0507,인천,1.9
2021,0510,인천,5.2
2021,0515,인천,25.1
2021,0516,인천,61.4
2021,0517,인천,2.4
2021,0520,인천,7.9
2021,0521,인천,4.6
2021,0525,인천,5.3
2021,0527,인천,8.8
2021,0528,인천,11.1
2021,0530,인천,23.1
2021,0531,인천,0.6
2021,0601,인천,0.9
2021,0603,인천,16.1
2021,0608,인천,0.1
2021,0610,인천,7.2
2021,0611,인천,2.1
2021,0615,인천,1.6
2021,0617,인천,0.1
2021,0618,인천,12.1
2021,0626,인천,1.6
2021,0628,인천,3.6
2021,0703,인천,52.7
2021,0704,인천,12.6
2021,0707,인천,0.2
2021,0708,인천,0.5
2021,0710,인천,10.7
2021,0716,인천,5
2021,0717,인천,2.4
2021,0718,인천,0.1
2021,0801,인천,12.6
2021,0802,인천,0.1
2021,0808,인천,21.5
2021,0811,인천,1.4
2021,0816,인천,29.5
2021,0817,인천,27.6
2021,0818,인천,7.4
2021,0820,인천,4.5
2021,0821,인천,59.6
2021,0823,인천,12.2
2021,0824,인천,8.2
2021,0825,인천,0.1
2021,0827,인천,0.6
2021,0829,인천,1
2021,0831,인천,82.7
2021,0902,인천,1
2021,0906,인천,15.6
2021,0907,인천,14.1
2021,0920,인천,0.3
2021,0921,인천,74.6
2021,0922,인천,7
2021,0928,인천,3.5
2021,0929,인천,9.7
2021,1001,인천,7.8
2021,1004,인천,1.8
2021,1006,인천,1.1
2021,1007,인천,4.6
2021,1008,인천,1.8
2021,1010,인천,7
2021,1011,인천,0.4
2021,1015,인천,0.1
2021,1018,인천,5.4
2021,1019,인천,1.6
2021,1104,인천,2.4
2021,1108,인천,31.4
2021,1109,인천,13.3
2021,1111,인천,0.3
2021,1118,인천,0.8
2021,1121,인천,3.1
2021,1130,인천,27.7
2021,1203,인천,0.4
2021,1210,인천,0.3
2021,1214,인천,0.4
2021,1215,인천,1.8
2021,1218,인천,4.6
2021,1224,인천,0.1
2022,0102,인천,0.3
2022,0103,인천,0.2
2022,0110,인천,1.2
2022,0117,인천,0.4
2022,0119,인천,0.2
2022,0125,인천,0.2
2022,0131,인천,1.9
2022,0201,인천,1.2
2022,0214,인천,1
2022,0226,인천,0.5
2022,0301,인천,4.3
2022,0312,인천,2.5
2022,0313,인천,32.8
2022,0314,인천,6.4
2022,0317,인천,0.1
2022,0319,인천,12
2022,0325,인천,9.3
2022,0326,인천,17.2
2022,0412,인천,1.7
2022,0413,인천,1.5
2022,0424,인천,0.1
2022,0425,인천,0.5
2022,0426,인천,0.3
2022,0429,인천,17
2022,0507,인천,0.3
2022,0508,인천,0.7
2022,0518,인천,2.4
2022,0525,인천,2
2022,0605,인천,0.5
2022,0606,인천,1.6
2022,0609,인천,0.4
2022,0610,인천,4.4
2022,0614,인천,0.1
2022,0615,인천,19.7
2022,0616,인천,2.7
2022,0623,인천,92.3
2022,0624,인천,8.4
2022,0627,인천,2.3
2022,0628,인천,2.6
2022,0629,인천,24.9
2022,0630,인천,126.1
2022,0707,인천,0.5
2022,0713,인천,168
2022,0714,인천,0.5
2022,0720,인천,0.7
2022,0721,인천,12.8
2022,0723,인천,11.6
2022,0724,인천,0.4
2022,0731,인천,20.7
2022,0801,인천,31.3
2022,0802,인천,148.2
2022,0803,인천,51.1
2022,0808,인천,207.8
2022,0809,인천,113.1
2022,0810,인천,6.3
2022,0811,인천,19.4
2022,0813,인천,6.5
2022,0814,인천,1.4
2022,0819,인천,11.3
2022,0823,인천,2.8
2022,0825,인천,1.6
2022,0829,인천,1
2022,0830,인천,34.1
2022,0904,인천,27.1
2022,0905,인천,95.5
2022,0906,인천,25.5
2022,0916,인천,14.9
2022,0917,인천,0.5
2022,0923,인천,4.3
2022,1002,인천,17.8
2022,1003,인천,57.1
2022,1004,인천,7
2022,1009,인천,17.3
2022,1010,인천,2.9
2022,1112,인천,47.7
2022,1115,인천,1
2022,1125,인천,0.1
2022,1128,인천,30.1
2022,1129,인천,2.4
2022,1203,인천,1.4
2022,1206,인천,0.1
2022,1207,인천,0.7
2022,1212,인천,2.1
2022,1213,인천,1.3
2022,1215,인천,2.5
2022,1217,인천,1.3
2022,1221,인천,3.9
2022,1228,인천,0.2
2022,1229,인천,0.3
2022,1230,인천,0.2
2023,0106,인천,3.2
2023,0113,인천,36
2023,0114,인천,3.6
2023,0115,인천,1.3
2023,0119,인천,1.5
2023,0126,인천,1.6
2023,0210,인천,0.2
2023,0219,인천,0.3
2023,0308,인천,4.4
2023,0309,인천,1.1
2023,0312,인천,4.5
2023,0404,인천,10.6
2023,0405,인천,40.5
2023,0406,인천,2.5
2023,0411,인천,0.3
2023,0415,인천,2.9
2023,0418,인천,1.2
2023,0428,인천,2.1
2023,0429,인천,10.3
2023,0505,인천,14.3
2023,0506,인천,47.5
2023,0521,인천,0.3
2023,0526,인천,0.1
2023,0527,인천,28.1
2023,0528,인천,40.9
2023,0529,인천,2.6
2023,0608,인천,1.3
2023,0609,인천,1
2023,0610,인천,5
2023,0611,인천,11.2
